test case,expected result,actual result,pass/fail,failure reason,recommended fix
E11,"{""intent"": ""service_lookup"", ""language"": ""roman_urdu"", ""entities"": {}, ""tool_mode"": ""get_services""}","{""intent"": ""service_lookup"", ""language"": ""roman_urdu"", ""entities"": {}, ""tools"": [{""tool"": ""get_services"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 9, ""services"": [{""service_id"": ""SERVICE-004"", ""name"": ""Cardiology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3500.0, ""active"": true}, {""service_id"": ""SERVICE-009"", ""name"": ""Chronic Care Follow-up"", ""duration_minutes"": 20, ""fee_pkr"": 1500.0, ""active"": true}, {""service_id"": ""SERVICE-005"", ""name"": ""Dermatology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3000.0, ""active"": true}, {""service_id"": ""SERVICE-003"", ""name"": ""Family Medicine Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-002"", ""name"": ""Follow-up Consultation"", ""duration_minutes"": 20, ""fee_pkr"": 1200.0, ""active"": true}, {""service_id"": ""SERVICE-001"", ""name"": ""General Physician Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-008"", ""name"": ""Health Screening Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2200.0, ""active"": true}, {""service_id"": ""SERVICE-006"", ""name"": ""Pediatric Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2500.0, ""active"": true}, {""service_id"": ""SERVICE-007"", ""name"": ""Preventive Health Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}]}, ""error"": null}}], ""response"": ""Available services: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.""}",PASS,,
E12,"{""intent"": ""service_lookup"", ""language"": ""mixed"", ""entities"": {}, ""tool_mode"": ""get_services""}","{""intent"": ""service_lookup"", ""language"": ""mixed"", ""entities"": {}, ""tools"": [{""tool"": ""get_services"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 9, ""services"": [{""service_id"": ""SERVICE-004"", ""name"": ""Cardiology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3500.0, ""active"": true}, {""service_id"": ""SERVICE-009"", ""name"": ""Chronic Care Follow-up"", ""duration_minutes"": 20, ""fee_pkr"": 1500.0, ""active"": true}, {""service_id"": ""SERVICE-005"", ""name"": ""Dermatology Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 3000.0, ""active"": true}, {""service_id"": ""SERVICE-003"", ""name"": ""Family Medicine Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-002"", ""name"": ""Follow-up Consultation"", ""duration_minutes"": 20, ""fee_pkr"": 1200.0, ""active"": true}, {""service_id"": ""SERVICE-001"", ""name"": ""General Physician Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}, {""service_id"": ""SERVICE-008"", ""name"": ""Health Screening Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2200.0, ""active"": true}, {""service_id"": ""SERVICE-006"", ""name"": ""Pediatric Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2500.0, ""active"": true}, {""service_id"": ""SERVICE-007"", ""name"": ""Preventive Health Consultation"", ""duration_minutes"": 30, ""fee_pkr"": 2000.0, ""active"": true}]}, ""error"": null}}], ""response"": ""Available services aur fees yeh hain: Cardiology Consultation — PKR 3500; Chronic Care Follow-up — PKR 1500; Dermatology Consultation — PKR 3000; Family Medicine Consultation — PKR 2000; Follow-up Consultation — PKR 1200; General Physician Consultation — PKR 2000; Health Screening Consultation — PKR 2200; Pediatric Consultation — PKR 2500; Preventive Health Consultation — PKR 2000.""}",PASS,,
E13,"{""intent"": ""information"", ""language"": ""english"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""english"", ""entities"": {}, ""tools"": [], ""response"": ""The information is unavailable in the clinic knowledge base.""}",PASS,,
E14,"{""intent"": ""information"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""urdu"", ""entities"": {}, ""tools"": [], ""response"": ""The information is unavailable in the clinic knowledge base.""}",PASS,,
E15,"{""intent"": ""information"", ""language"": ""roman_urdu"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""roman_urdu"", ""entities"": {}, ""tools"": [], ""response"": ""The information is unavailable in the clinic knowledge base.""}",PASS,,
E16,"{""intent"": ""information"", ""language"": ""mixed"", ""entities"": {}, ""tool_mode"": ""rag""}","{""intent"": ""information"", ""language"": ""mixed"", ""entities"": {}, ""tools"": [], ""response"": ""The information is unavailable in the clinic knowledge base.""}",PASS,,
E17,"{""intent"": ""availability"", ""language"": ""english"", ""entities"": {""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""check_availability""}","{""intent"": ""availability"", ""language"": ""english"", ""entities"": {""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001""}, ""tools"": [{""tool"": ""check_availability"", ""input"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""requested_window"": {""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-28T11:00:00""}, ""count"": 20, ""slots"": [{""schedule_id"": 5, ""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-14T11:30:00"", ""status"": ""available""}, {""schedule_id"": 75, ""start_at"": ""2026-09-16T09:00:00"", ""end_at"": ""2026-09-16T09:30:00"", ""status"": ""available""}, {""schedule_id"": 84, ""start_at"": ""2026-09-16T14:30:00"", ""end_at"": ""2026-09-16T15:00:00"", ""status"": ""available""}, {""schedule_id"": 85, ""start_at"": ""2026-09-16T15:00:00"", ""end_at"": ""2026-09-16T15:30:00"", ""status"": ""available""}, {""schedule_id"": 86, ""start_at"": ""2026-09-16T15:30:00"", ""end_at"": ""2026-09-16T16:00:00"", ""status"": ""available""}, {""schedule_id"": 87, ""start_at"": ""2026-09-16T16:00:00"", ""end_at"": ""2026-09-16T16:30:00"", ""status"": ""available""}, {""schedule_id"": 88, ""start_at"": ""2026-09-16T16:30:00"", ""end_at"": ""2026-09-16T17:00:00"", ""status"": ""available""}, {""schedule_id"": 137, ""start_at"": ""2026-09-18T09:00:00"", ""end_at"": ""2026-09-18T09:30:00"", ""status"": ""available""}, {""schedule_id"": 138, ""start_at"": ""2026-09-18T09:30:00"", ""end_at"": ""2026-09-18T10:00:00"", ""status"": ""available""}, {""schedule_id"": 139, ""start_at"": ""2026-09-18T10:00:00"", ""end_at"": ""2026-09-18T10:30:00"", ""status"": ""available""}, {""schedule_id"": 140, ""start_at"": ""2026-09-18T10:30:00"", ""end_at"": ""2026-09-18T11:00:00"", ""status"": ""available""}, {""schedule_id"": 141, ""start_at"": ""2026-09-18T11:00:00"", ""end_at"": ""2026-09-18T11:30:00"", ""status"": ""available""}, {""schedule_id"": 142, ""start_at"": ""2026-09-18T11:30:00"", ""end_at"": ""2026-09-18T12:00:00"", ""status"": ""available""}, {""schedule_id"": 143, ""start_at"": ""2026-09-18T12:00:00"", ""end_at"": ""2026-09-18T12:30:00"", ""status"": ""available""}, {""schedule_id"": 144, ""start_at"": ""2026-09-18T12:30:00"", ""end_at"": ""2026-09-18T13:00:00"", ""status"": ""available""}, {""schedule_id"": 145, ""start_at"": ""2026-09-18T14:00:00"", ""end_at"": ""2026-09-18T14:30:00"", ""status"": ""available""}, {""schedule_id"": 146, ""start_at"": ""2026-09-18T14:30:00"", ""end_at"": ""2026-09-18T15:00:00"", ""status"": ""available""}, {""schedule_id"": 147, ""start_at"": ""2026-09-18T15:00:00"", ""end_at"": ""2026-09-18T15:30:00"", ""status"": ""available""}, {""schedule_id"": 148, ""start_at"": ""2026-09-18T15:30:00"", ""end_at"": ""2026-09-18T16:00:00"", ""status"": ""available""}, {""schedule_id"": 149, ""start_at"": ""2026-09-18T16:00:00"", ""end_at"": ""2026-09-18T16:30:00"", ""status"": ""available""}]}, ""error"": null}}], ""response"": ""This requested time is available: 2026-09-14T11:00:00.""}",PASS,,
E18,"{""intent"": ""availability"", ""language"": ""mixed"", ""entities"": {""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""check_availability""}","{""intent"": ""availability"", ""language"": ""mixed"", ""entities"": {""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001""}, ""tools"": [{""tool"": ""check_availability"", ""input"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""requested_window"": {""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-28T11:00:00""}, ""count"": 20, ""slots"": [{""schedule_id"": 5, ""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-14T11:30:00"", ""status"": ""available""}, {""schedule_id"": 75, ""start_at"": ""2026-09-16T09:00:00"", ""end_at"": ""2026-09-16T09:30:00"", ""status"": ""available""}, {""schedule_id"": 84, ""start_at"": ""2026-09-16T14:30:00"", ""end_at"": ""2026-09-16T15:00:00"", ""status"": ""available""}, {""schedule_id"": 85, ""start_at"": ""2026-09-16T15:00:00"", ""end_at"": ""2026-09-16T15:30:00"", ""status"": ""available""}, {""schedule_id"": 86, ""start_at"": ""2026-09-16T15:30:00"", ""end_at"": ""2026-09-16T16:00:00"", ""status"": ""available""}, {""schedule_id"": 87, ""start_at"": ""2026-09-16T16:00:00"", ""end_at"": ""2026-09-16T16:30:00"", ""status"": ""available""}, {""schedule_id"": 88, ""start_at"": ""2026-09-16T16:30:00"", ""end_at"": ""2026-09-16T17:00:00"", ""status"": ""available""}, {""schedule_id"": 137, ""start_at"": ""2026-09-18T09:00:00"", ""end_at"": ""2026-09-18T09:30:00"", ""status"": ""available""}, {""schedule_id"": 138, ""start_at"": ""2026-09-18T09:30:00"", ""end_at"": ""2026-09-18T10:00:00"", ""status"": ""available""}, {""schedule_id"": 139, ""start_at"": ""2026-09-18T10:00:00"", ""end_at"": ""2026-09-18T10:30:00"", ""status"": ""available""}, {""schedule_id"": 140, ""start_at"": ""2026-09-18T10:30:00"", ""end_at"": ""2026-09-18T11:00:00"", ""status"": ""available""}, {""schedule_id"": 141, ""start_at"": ""2026-09-18T11:00:00"", ""end_at"": ""2026-09-18T11:30:00"", ""status"": ""available""}, {""schedule_id"": 142, ""start_at"": ""2026-09-18T11:30:00"", ""end_at"": ""2026-09-18T12:00:00"", ""status"": ""available""}, {""schedule_id"": 143, ""start_at"": ""2026-09-18T12:00:00"", ""end_at"": ""2026-09-18T12:30:00"", ""status"": ""available""}, {""schedule_id"": 144, ""start_at"": ""2026-09-18T12:30:00"", ""end_at"": ""2026-09-18T13:00:00"", ""status"": ""available""}, {""schedule_id"": 145, ""start_at"": ""2026-09-18T14:00:00"", ""end_at"": ""2026-09-18T14:30:00"", ""status"": ""available""}, {""schedule_id"": 146, ""start_at"": ""2026-09-18T14:30:00"", ""end_at"": ""2026-09-18T15:00:00"", ""status"": ""available""}, {""schedule_id"": 147, ""start_at"": ""2026-09-18T15:00:00"", ""end_at"": ""2026-09-18T15:30:00"", ""status"": ""available""}, {""schedule_id"": 148, ""start_at"": ""2026-09-18T15:30:00"", ""end_at"": ""2026-09-18T16:00:00"", ""status"": ""available""}, {""schedule_id"": 149, ""start_at"": ""2026-09-18T16:00:00"", ""end_at"": ""2026-09-18T16:30:00"", ""status"": ""available""}]}, ""error"": null}}], ""response"": ""This time available hai: 2026-09-14T11:00:00.""}",PASS,,
E19,"{""intent"": ""availability"", ""language"": ""roman_urdu"", ""entities"": {""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""check_availability""}","{""intent"": ""availability"", ""language"": ""roman_urdu"", ""entities"": {""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001""}, ""tools"": [{""tool"": ""check_availability"", ""input"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""requested_window"": {""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-28T11:00:00""}, ""count"": 20, ""slots"": [{""schedule_id"": 5, ""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-14T11:30:00"", ""status"": ""available""}, {""schedule_id"": 75, ""start_at"": ""2026-09-16T09:00:00"", ""end_at"": ""2026-09-16T09:30:00"", ""status"": ""available""}, {""schedule_id"": 84, ""start_at"": ""2026-09-16T14:30:00"", ""end_at"": ""2026-09-16T15:00:00"", ""status"": ""available""}, {""schedule_id"": 85, ""start_at"": ""2026-09-16T15:00:00"", ""end_at"": ""2026-09-16T15:30:00"", ""status"": ""available""}, {""schedule_id"": 86, ""start_at"": ""2026-09-16T15:30:00"", ""end_at"": ""2026-09-16T16:00:00"", ""status"": ""available""}, {""schedule_id"": 87, ""start_at"": ""2026-09-16T16:00:00"", ""end_at"": ""2026-09-16T16:30:00"", ""status"": ""available""}, {""schedule_id"": 88, ""start_at"": ""2026-09-16T16:30:00"", ""end_at"": ""2026-09-16T17:00:00"", ""status"": ""available""}, {""schedule_id"": 137, ""start_at"": ""2026-09-18T09:00:00"", ""end_at"": ""2026-09-18T09:30:00"", ""status"": ""available""}, {""schedule_id"": 138, ""start_at"": ""2026-09-18T09:30:00"", ""end_at"": ""2026-09-18T10:00:00"", ""status"": ""available""}, {""schedule_id"": 139, ""start_at"": ""2026-09-18T10:00:00"", ""end_at"": ""2026-09-18T10:30:00"", ""status"": ""available""}, {""schedule_id"": 140, ""start_at"": ""2026-09-18T10:30:00"", ""end_at"": ""2026-09-18T11:00:00"", ""status"": ""available""}, {""schedule_id"": 141, ""start_at"": ""2026-09-18T11:00:00"", ""end_at"": ""2026-09-18T11:30:00"", ""status"": ""available""}, {""schedule_id"": 142, ""start_at"": ""2026-09-18T11:30:00"", ""end_at"": ""2026-09-18T12:00:00"", ""status"": ""available""}, {""schedule_id"": 143, ""start_at"": ""2026-09-18T12:00:00"", ""end_at"": ""2026-09-18T12:30:00"", ""status"": ""available""}, {""schedule_id"": 144, ""start_at"": ""2026-09-18T12:30:00"", ""end_at"": ""2026-09-18T13:00:00"", ""status"": ""available""}, {""schedule_id"": 145, ""start_at"": ""2026-09-18T14:00:00"", ""end_at"": ""2026-09-18T14:30:00"", ""status"": ""available""}, {""schedule_id"": 146, ""start_at"": ""2026-09-18T14:30:00"", ""end_at"": ""2026-09-18T15:00:00"", ""status"": ""available""}, {""schedule_id"": 147, ""start_at"": ""2026-09-18T15:00:00"", ""end_at"": ""2026-09-18T15:30:00"", ""status"": ""available""}, {""schedule_id"": 148, ""start_at"": ""2026-09-18T15:30:00"", ""end_at"": ""2026-09-18T16:00:00"", ""status"": ""available""}, {""schedule_id"": 149, ""start_at"": ""2026-09-18T16:00:00"", ""end_at"": ""2026-09-18T16:30:00"", ""status"": ""available""}]}, ""error"": null}}], ""response"": ""Yeh time available hai: 2026-09-14T11:00:00.""}",PASS,,
E20,"{""intent"": ""availability"", ""language"": ""mixed"", ""entities"": {""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""check_availability""}","{""intent"": ""availability"", ""language"": ""mixed"", ""entities"": {""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001""}, ""tools"": [{""tool"": ""check_availability"", ""input"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""doctor_id"": ""DR-001"", ""service_id"": ""SERVICE-001"", ""requested_window"": {""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-28T11:00:00""}, ""count"": 20, ""slots"": [{""schedule_id"": 5, ""start_at"": ""2026-09-14T11:00:00"", ""end_at"": ""2026-09-14T11:30:00"", ""status"": ""available""}, {""schedule_id"": 75, ""start_at"": ""2026-09-16T09:00:00"", ""end_at"": ""2026-09-16T09:30:00"", ""status"": ""available""}, {""schedule_id"": 84, ""start_at"": ""2026-09-16T14:30:00"", ""end_at"": ""2026-09-16T15:00:00"", ""status"": ""available""}, {""schedule_id"": 85, ""start_at"": ""2026-09-16T15:00:00"", ""end_at"": ""2026-09-16T15:30:00"", ""status"": ""available""}, {""schedule_id"": 86, ""start_at"": ""2026-09-16T15:30:00"", ""end_at"": ""2026-09-16T16:00:00"", ""status"": ""available""}, {""schedule_id"": 87, ""start_at"": ""2026-09-16T16:00:00"", ""end_at"": ""2026-09-16T16:30:00"", ""status"": ""available""}, {""schedule_id"": 88, ""start_at"": ""2026-09-16T16:30:00"", ""end_at"": ""2026-09-16T17:00:00"", ""status"": ""available""}, {""schedule_id"": 137, ""start_at"": ""2026-09-18T09:00:00"", ""end_at"": ""2026-09-18T09:30:00"", ""status"": ""available""}, {""schedule_id"": 138, ""start_at"": ""2026-09-18T09:30:00"", ""end_at"": ""2026-09-18T10:00:00"", ""status"": ""available""}, {""schedule_id"": 139, ""start_at"": ""2026-09-18T10:00:00"", ""end_at"": ""2026-09-18T10:30:00"", ""status"": ""available""}, {""schedule_id"": 140, ""start_at"": ""2026-09-18T10:30:00"", ""end_at"": ""2026-09-18T11:00:00"", ""status"": ""available""}, {""schedule_id"": 141, ""start_at"": ""2026-09-18T11:00:00"", ""end_at"": ""2026-09-18T11:30:00"", ""status"": ""available""}, {""schedule_id"": 142, ""start_at"": ""2026-09-18T11:30:00"", ""end_at"": ""2026-09-18T12:00:00"", ""status"": ""available""}, {""schedule_id"": 143, ""start_at"": ""2026-09-18T12:00:00"", ""end_at"": ""2026-09-18T12:30:00"", ""status"": ""available""}, {""schedule_id"": 144, ""start_at"": ""2026-09-18T12:30:00"", ""end_at"": ""2026-09-18T13:00:00"", ""status"": ""available""}, {""schedule_id"": 145, ""start_at"": ""2026-09-18T14:00:00"", ""end_at"": ""2026-09-18T14:30:00"", ""status"": ""available""}, {""schedule_id"": 146, ""start_at"": ""2026-09-18T14:30:00"", ""end_at"": ""2026-09-18T15:00:00"", ""status"": ""available""}, {""schedule_id"": 147, ""start_at"": ""2026-09-18T15:00:00"", ""end_at"": ""2026-09-18T15:30:00"", ""status"": ""available""}, {""schedule_id"": 148, ""start_at"": ""2026-09-18T15:30:00"", ""end_at"": ""2026-09-18T16:00:00"", ""status"": ""available""}, {""schedule_id"": 149, ""start_at"": ""2026-09-18T16:00:00"", ""end_at"": ""2026-09-18T16:30:00"", ""status"": ""available""}]}, ""error"": null}}], ""response"": ""This time available hai: 2026-09-14T11:00:00.""}",PASS,,
E21,"{""intent"": ""booking"", ""language"": ""english"", ""entities"": {""doctor_id"": ""DR-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""clarify""}","{""intent"": ""booking"", ""language"": ""english"", ""entities"": {""booking_active"": true, ""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001""}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Before I can continue, please provide the service, patient ID. For example: Dr. Bilal Hassan, Cardiology Consultation, P-001, tomorrow at 2:30 PM.""}",PASS,,
E22,"{""intent"": ""booking"", ""language"": ""roman_urdu"", ""entities"": {""doctor_id"": ""DR-001"", ""start_at"": ""2026-09-14T11:00:00""}, ""tool_mode"": ""clarify""}","{""intent"": ""booking"", ""language"": ""roman_urdu"", ""entities"": {""booking_active"": true, ""start_at"": ""2026-09-14T11:00:00"", ""booking_date"": ""2026-09-14"", ""doctor_id"": ""DR-001""}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Meherbani karke service, patient ID bata dein. Misaal: Dr. Bilal Hassan, Cardiology Consultation, P-001, kal 2:30 PM.""}",PASS,,
E23,"{""intent"": ""booking"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""clarify""}","{""intent"": ""booking"", ""language"": ""urdu"", ""entities"": {""booking_active"": true}, ""tools"": [], ""response"": ""براہِ کرم ڈاکٹر, سروس, پیشنٹ آئی ڈی, تاریخ اور وقت فراہم کریں۔ مثال: Dr. Bilal Hassan، Cardiology Consultation، P-001، کل 2:30 PM۔""}",PASS,,
E24,"{""intent"": ""booking"", ""language"": ""mixed"", ""entities"": {""doctor_id"": ""DR-001""}, ""tool_mode"": ""clarify""}","{""intent"": ""booking"", ""language"": ""mixed"", ""entities"": {""booking_active"": true, ""doctor_id"": ""DR-001""}, ""tools"": [{""tool"": ""get_doctors"", ""input"": {""clinic_id"": ""CLINIC-001""}, ""result"": {""success"": true, ""data"": {""clinic_id"": ""CLINIC-001"", ""count"": 5, ""doctors"": [{""doctor_id"": ""DR-001"", ""name"": ""Dr. Amina Rahman"", ""specialty"": ""General Practice & Family Medicine"", ""active"": true}, {""doctor_id"": ""DR-002"", ""name"": ""Dr. Bilal Hassan"", ""specialty"": ""Cardiology"", ""active"": true}, {""doctor_id"": ""DR-004"", ""name"": ""Dr. Hamza Qureshi"", ""specialty"": ""Pediatrics"", ""active"": true}, {""doctor_id"": ""DR-005"", ""name"": ""Dr. Nadia Ahmed"", ""specialty"": ""General Practice & Preventive Care"", ""active"": true}, {""doctor_id"": ""DR-003"", ""name"": ""Dr. Sara Malik"", ""specialty"": ""Dermatology"", ""active"": true}]}, ""error"": null}}], ""response"": ""Please service, patient ID, date aur time provide karein. Example: Dr. Bilal Hassan, Cardiology Consultation, P-001, kal 2:30 PM.""}",PASS,,
E25,"{""intent"": ""cancellation"", ""language"": ""english"", ""entities"": {}, ""tool_mode"": ""handoff""}","{""intent"": ""cancellation"", ""language"": ""english"", ""entities"": {}, ""tools"": [], ""response"": ""I can help with clinic information and new appointments. For cancellation or rescheduling requests, please contact clinic staff directly during regular hours.""}",PASS,,
E26,"{""intent"": ""rescheduling"", ""language"": ""urdu"", ""entities"": {}, ""tool_mode"": ""handoff""}","{""intent"": ""rescheduling"", ""language"": ""urdu"", ""entities"": {}, ""tools"": [], ""response"": ""I can help with clinic information and new appointments. For cancellation or rescheduling requests, please contact clinic staff directly during regular hours.""}",PASS,,
E27,"{""intent"": ""booking"", ""language"": ""roman_urdu"", ""entities"": {}, ""tool_mode"": ""clarify""}","{""intent"": ""booking"", ""language"": ""roman_urdu"", ""entities"": {""booking_active"": true, ""booking_date"": ""2026-09-14""}, ""tools"": [], ""response"": ""Mere paas Monday 14 September 2026 ki date save hai. Meherbani karke doctor, service, patient ID, time bata dein. Misaal: Dr. Bilal Hassan, Cardiology Consultation, P-001, kal 2:30 PM.""}",PASS,,
